KPI,Building_1,Building_10,Building_11,Building_12,Building_13,Building_14,Building_15,Building_16,Building_17,Building_2,Building_3,Building_4,Building_5,Building_6,Building_7,Building_8,Building_9,District
building_solar_self_consumption_daily_average_export_kwh,44.54589330634962,11.47395594064901,3.864917422670418,2.894651478293653,5.050539104814915,2.148574797942556,0.008405998818811147,12.574694863328148,6.7645717494901625,4.987094521276529,6.336510100200205,11.11549462020125,25.198806012758407,4.043962123238664,28.05640283754266,8.507112488307136,7.945771705633166,
building_solar_self_consumption_daily_average_generation_business_as_usual_kwh,61.77463718659229,24.262513668137064,20.096412418625658,31.997480550162184,20.128301543007982,6.995492579946327,0.057939768873673185,25.094018293204545,18.46452908279172,15.488976563737932,16.685384381142235,27.649947081391083,42.99214781599381,18.22315915110938,41.61792773363358,19.242725245687193,16.369139452561782,
building_solar_self_consumption_daily_average_generation_delta_to_business_as_usual_kwh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
building_solar_self_consumption_daily_average_generation_kwh,61.77463718659229,24.262513668137064,20.096412418625658,31.997480550162184,20.128301543007982,6.995492579946327,0.057939768873673185,25.094018293204545,18.46452908279172,15.488976563737932,16.685384381142235,27.649947081391083,42.99214781599381,18.22315915110938,41.61792773363358,19.242725245687193,16.369139452561782,
building_solar_self_consumption_ratio_self_consumption_business_as_usual_ratio,0.3241225134723718,0.6697932199697311,0.9483091307665847,0.9729432569642211,0.9399072164148711,0.9955469652116334,0.9093848581422086,0.6622486482340113,0.8273959565814114,0.8923473730752959,0.8118472209549389,0.7431583967711761,0.47193409847688766,0.9745558087919145,0.4258388955265728,0.7940223078557288,0.7438385240770673,
building_solar_self_consumption_ratio_self_consumption_delta_to_business_as_usual_ratio,-0.045225790401337174,-0.14270200830015334,-0.14062790598680042,-0.06340823822284658,-0.19082451780880472,-0.3026839928602342,-0.05446653489412745,-0.16335192776471014,-0.1937509131123365,-0.2143243933615866,-0.1916113279995274,-0.14516620486865273,-0.058059874760714614,-0.19646914937712678,-0.09998113098604866,-0.23611730114228557,-0.22925021774980014,
building_solar_self_consumption_ratio_self_consumption_ratio,0.27889672307103464,0.5270912116695777,0.8076812247797843,0.9095350187413745,0.7490826986060664,0.6928629723513993,0.8549183232480811,0.49889672046930117,0.6336450434690749,0.6780229797137093,0.6202358929554115,0.5979921919025234,0.41387422371617305,0.7780866594147877,0.3258577645405241,0.5579050067134432,0.5145883063272672,
building_solar_self_consumption_ratio_to_business_as_usual_export_total_ratio,1.0669141838614689,1.4321595343592652,3.720556029959204,3.3435281230633644,4.175498061900861,68.97251924709515,1.6010754248953836,1.483645518842775,2.1225166529990487,2.9908886525499483,2.018381599102706,1.5651973942061177,1.1099481610027293,8.721571802789079,1.1741342807917006,2.1463246271198337,1.894944163340045,
building_solar_self_consumption_ratio_to_business_as_usual_generation_total_ratio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
building_solar_self_consumption_ratio_to_business_as_usual_self_consumption_ratio,0.8604669884951012,0.7869461737659837,0.8517066835862679,0.9348284313920906,0.7969751540618286,0.6959621158647301,0.9401061779218562,0.7533374689396296,0.7658304810759945,0.7598195502913169,0.763981050801475,0.8046631707326986,0.8769746137265858,0.7984013356601145,0.7652137180601678,0.7026314011505237,0.6918010961663393,
